label,V1v,V1d,V2v,V2d,V3v,V3d,hV4,VO1,VO2,PHC1,PHC2,MST,hMT,LO2,LO1,V3a,V3b,IPS0,IPS1,IPS2,IPS3,IPS4,IPS5,SPL1
V1v,1.0,0.7667944836142504,0.7504008120486622,0.6446165750405606,0.6073559383130434,0.57622561253223,0.5383330200116606,0.47380137648169296,0.38076069794041545,0.2959608373031397,0.24044079352871883,0.29656186317227895,0.3317674551250649,0.44114455033937405,0.4683075990936755,0.47727494596335135,0.5324045917440058,0.45741941873923553,0.4194345080179527,0.3482308736681523,0.35687883286080707,0.29553020259228147,0.2899290493064236,0.32780813725891955
V1d,0.7667944836142504,1.0,0.6867379390460715,0.7473511988898593,0.5379652045541409,0.656826758886496,0.4943235097355102,0.4216969063529111,0.35126969685019993,0.2899937135092535,0.22921840313648129,0.2959037319050918,0.4212529897365501,0.38628402426506614,0.4301164346200968,0.46962416363378023,0.5120022611534353,0.3933234031133504,0.33370752851322855,0.28941264309959513,0.311908434872471,0.27354599243419514,0.25208936241632346,0.3035502079442388
V2v,0.750400812048662,0.6867379390460715,1.0,0.6979639514506759,0.7451999406680639,0.6782481202037602,0.6614791523353295,0.5901446420815348,0.4938574742626871,0.4078408352556635,0.33555364128989007,0.40683040918610447,0.4611127551376122,0.49647883259953646,0.5211365502412483,0.5577825094156204,0.6355739393736184,0.5299612400174903,0.4419705855169525,0.37287281716544074,0.41618714622889097,0.3736292115648024,0.33675960383633297,0.3711086918896727
V2d,0.6446165750405606,0.7473511988898593,0.6979639514506759,1.0,0.6105612684427744,0.7642773903563549,0.5512364868762916,0.4904473821166876,0.42419038463391523,0.3522717470048802,0.25485113855843256,0.38007592344972696,0.5048746728748525,0.48467594640083944,0.5005630058947637,0.5635899294862069,0.6172241547129598,0.4834222744619897,0.3916116618370877,0.34587071500360905,0.39524430555729206,0.34231992232435027,0.2892941694066951,0.3464072703914532
V3v,0.6073559383130435,0.5379652045541409,0.7451999406680639,0.6105612684427745,1.0,0.6326862550588133,0.6600933746770195,0.6070032973676559,0.5083545748671413,0.42140510131615194,0.3607716036351834,0.38369081875703975,0.44476755609290297,0.4987045262860008,0.5335866521532073,0.5374576212227034,0.6282791617469898,0.5333837042870263,0.4261389216303286,0.36501052715662763,0.40910475740600216,0.36061258218884323,0.3287870648180345,0.34253921858018144
V3d,0.57622561253223,0.6568267588864961,0.6782481202037602,0.7642773903563549,0.6326862550588133,1.0,0.5612132041989234,0.5198070540564603,0.4625227808369765,0.36564057628709046,0.2780761247980194,0.40311823219157683,0.4995078100825951,0.529340706409567,0.5829880925108756,0.6183729962008184,0.6665236863988653,0.5279025973264544,0.413436798193438,0.35388535274830957,0.44219936944682925,0.37695387915273726,0.32198370987678204,0.36764580314740136
hV4,0.5383330200116605,0.4943235097355102,0.6614791523353295,0.5512364868762916,0.6600933746770195,0.5612132041989234,1.0,0.5668315294185637,0.4697894721726535,0.3715763061281592,0.3163835090945264,0.358831451436461,0.3964702339019075,0.48910489935325974,0.5210441590194985,0.5315161789127226,0.5511821846097598,0.4936100534465362,0.4187891440260172,0.3262553367493084,0.3954329446718484,0.34706392327195057,0.30392190149831066,0.29045859856540923
VO1,0.47380137648169296,0.4216969063529111,0.5901446420815349,0.4904473821166875,0.6070032973676559,0.5198070540564603,0.5668315294185639,1.0,0.5013093174114246,0.4206279444945398,0.344633722574777,0.34875781857015226,0.3925005955284576,0.49366351865829594,0.48677023285227256,0.519241377799069,0.5699154571237812,0.5206913880272257,0.41293352301768194,0.3231362650489693,0.3932907313069744,0.3518197979231436,0.3061806029485243,0.2944097084449521
VO2,0.38076069794041545,0.35126969685019993,0.4938574742626871,0.42419038463391523,0.5083545748671412,0.4625227808369765,0.4697894721726535,0.5013093174114246,1.0,0.4137001234469756,0.3339464970955026,0.32063323233312685,0.3719472713479516,0.44716614735761595,0.4320308836617166,0.47672007365084706,0.5126886300274475,0.47479153578397665,0.37893136898687985,0.32295201159288656,0.3770902332820833,0.32979770204116265,0.29670689297594066,0.2996165812287287
PHC1,0.2959608373031397,0.2899937135092535,0.4078408352556634,0.3522717470048802,0.42140510131615205,0.36564057628709046,0.3715763061281592,0.4206279444945398,0.41370012344697565,1.0,0.3506979750430732,0.2764783638405154,0.3211197902698347,0.364921862218883,0.34103723959240995,0.398438378815238,0.4272334423179618,0.41369433262167743,0.31869250227817475,0.2852978450734296,0.32315106785952963,0.2937793587207541,0.25762719906231624,0.2755602857693167
PHC2,0.24044079352871883,0.22921840313648134,0.33555364128989007,0.25485113855843256,0.36077160363518346,0.27807612479801946,0.3163835090945264,0.344633722574777,0.3339464970955026,0.35069797504307315,1.0,0.2415218149102044,0.2545173729749821,0.3058455394314535,0.2845183064032867,0.3172745105042948,0.33477462555421644,0.3327336715894824,0.29355567526869564,0.2762009383495555,0.284401977985768,0.2582423575890716,0.2430166317673558,0.2682482531416819
MST,0.29656186317227895,0.2959037319050918,0.4068304091861044,0.38007592344972696,0.3836908187570398,0.40311823219157683,0.358831451436461,0.34875781857015226,0.32063323233312685,0.2764783638405154,0.2415218149102044,1.0,0.42978217811734915,0.39172860048669816,0.37665184082706704,0.39829246176496447,0.4339570261389284,0.40439983496836074,0.310970880238364,0.2944237283351929,0.34237197420058935,0.3069105662427421,0.2760445750224084,0.26771289973857826
hMT,0.3317674551250649,0.4212529897365501,0.4611127551376122,0.5048746728748525,0.44476755609290297,0.4995078100825951,0.3964702339019075,0.39250059552845773,0.3719472713479516,0.3211197902698347,0.2545173729749821,0.42978217811734915,1.0,0.44910642123481403,0.3978876819240408,0.4564342527148028,0.49314285658531376,0.4471526872723895,0.36369158137406016,0.3139495218649856,0.3814615703387883,0.32849188915311023,0.27654460733729425,0.32244580384309374
LO2,0.44114455033937405,0.38628402426506614,0.49647883259953646,0.48467594640083944,0.4987045262860008,0.529340706409567,0.48910489935325974,0.49366351865829594,0.44716614735761595,0.364921862218883,0.3058455394314535,0.39172860048669816,0.44910642123481403,1.0,0.565185326153895,0.5740717977018708,0.6044360435402439,0.5933935721370627,0.4891505879506522,0.40102464613401145,0.4879432634270545,0.4168445506690226,0.3722616609363741,0.3529862929385188
LO1,0.4683075990936755,0.4301164346200968,0.5211365502412483,0.5005630058947637,0.5335866521532073,0.5829880925108757,0.5210441590194985,0.48677023285227256,0.4320308836617166,0.34103723959240995,0.2845183064032867,0.37665184082706704,0.3978876819240408,0.565185326153895,1.0,0.5913443112094119,0.5750195581036309,0.5575702420885693,0.4373476775165585,0.3775757737851311,0.4224707765086647,0.39543531442363566,0.3355418159039022,0.29623344019170084
V3a,0.47727494596335135,0.46962416363378023,0.5577825094156204,0.5635899294862069,0.5374576212227034,0.6183729962008184,0.5315161789127226,0.519241377799069,0.47672007365084706,0.398438378815238,0.3172745105042948,0.39829246176496447,0.4564342527148028,0.5740717977018708,0.5913443112094118,1.0,0.6509751212938393,0.6526844794521072,0.5322377448856744,0.4482913611165156,0.5225855436434814,0.43008717918733236,0.3726392521127945,0.36832390789554376
V3b,0.5324045917440058,0.5120022611534353,0.6355739393736184,0.6172241547129598,0.6282791617469898,0.6665236863988653,0.5511821846097598,0.5699154571237812,0.5126886300274475,0.4272334423179617,0.33477462555421644,0.43395702613892834,0.49314285658531376,0.6044360435402439,0.5750195581036308,0.6509751212938393,1.0,0.6701317037861042,0.504070049135188,0.44685952655258904,0.5364704526167506,0.4642957842027829,0.39424703978033115,0.39503386476345254
IPS0,0.45741941873923553,0.3933234031133504,0.5299612400174902,0.4834222744619897,0.5333837042870263,0.5279025973264544,0.4936100534465362,0.5206913880272257,0.47479153578397665,0.41369433262167743,0.3327336715894825,0.40439983496836074,0.4471526872723896,0.5933935721370627,0.5575702420885693,0.6526844794521072,0.6701317037861043,1.0,0.6211695827327521,0.5377860173291665,0.5850082416008664,0.5059827611079079,0.4631820309347725,0.46384219845855745
IPS1,0.4194345080179527,0.3337075285132285,0.4419705855169525,0.3916116618370877,0.4261389216303286,0.41343679819343804,0.4187891440260172,0.41293352301768194,0.37893136898687985,0.31869250227817475,0.29355567526869564,0.31097088023836394,0.3636915813740602,0.4891505879506522,0.43734767751655856,0.5322377448856743,0.504070049135188,0.621169582732752,1.0,0.5997565353235665,0.5451810118925161,0.46440711261542955,0.464773001488869,0.5012374943007104
IPS2,0.3482308736681523,0.28941264309959513,0.37287281716544074,0.34587071500360905,0.36501052715662763,0.3538853527483095,0.3262553367493084,0.3231362650489693,0.32295201159288656,0.2852978450734296,0.2762009383495555,0.294423728335193,0.3139495218649856,0.40102464613401145,0.3775757737851311,0.4482913611165156,0.44685952655258904,0.5377860173291664,0.5997565353235665,1.0,0.5926446213319454,0.4850016781784986,0.49209943108232324,0.5687995266155087
IPS3,0.35687883286080707,0.311908434872471,0.41618714622889097,0.39524430555729206,0.40910475740600216,0.44219936944682925,0.3954329446718484,0.3932907313069744,0.37709023328208335,0.32315106785952963,0.2844019779857679,0.3423719742005893,0.3814615703387883,0.4879432634270545,0.4224707765086647,0.5225855436434814,0.5364704526167505,0.5850082416008664,0.5451810118925162,0.5926446213319454,1.0,0.5445833712051797,0.4883760222695534,0.5424898249019472
IPS4,0.29553020259228147,0.2735459924341951,0.37362921156480233,0.3423199223243504,0.36061258218884323,0.37695387915273726,0.34706392327195057,0.35181979792314355,0.32979770204116265,0.2937793587207541,0.2582423575890716,0.3069105662427421,0.32849188915311023,0.4168445506690226,0.39543531442363566,0.4300871791873323,0.4642957842027829,0.505982761107908,0.46440711261542955,0.4850016781784986,0.5445833712051797,1.0,0.41697957194729135,0.4114246634457705
IPS5,0.2899290493064236,0.2520893624163234,0.33675960383633297,0.2892941694066951,0.3287870648180345,0.32198370987678204,0.30392190149831066,0.3061806029485243,0.29670689297594066,0.25762719906231624,0.2430166317673558,0.2760445750224084,0.27654460733729425,0.37226166093637403,0.3355418159039022,0.3726392521127945,0.39424703978033115,0.46318203093477256,0.464773001488869,0.49209943108232324,0.48837602226955334,0.41697957194729135,1.0,0.4090295682076449
SPL1,0.32780813725891955,0.3035502079442388,0.3711086918896727,0.3464072703914532,0.34253921858018144,0.3676458031474013,0.29045859856540923,0.2944097084449522,0.2996165812287287,0.2755602857693167,0.2682482531416819,0.2677128997385782,0.32244580384309374,0.35298629293851874,0.29623344019170084,0.3683239078955438,0.39503386476345254,0.4638421984585574,0.5012374943007104,0.5687995266155087,0.5424898249019472,0.4114246634457705,0.4090295682076449,1.0
